maternal_health_delivery_services,facility_type_display,management,emergency_transport,skilled_birth_attendant,phcn_electricity,c_section_yn,child_health_measles_immun_calc,improved_water_supply,improved_sanitation,vaccines_fridge_freezer,antenatal_care_yn,family_planning_yn,malaria_treatment_artemisinin,num_chews_fulltime,num_nurses_fulltime,num_nursemidwives_fulltime,num_doctors_fulltime,latitude,longitude
TRUE,Health Post,public,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,0,0,0,6.54340807,9.08470312
TRUE,Primary Health Centre (PHC),private,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,4,1,1,1,9.00720861,7.67780798
TRUE,Basic Health Centre / Primary Health Clinic,public,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,4,11,2,5.1297,7.1592
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,2,0,0,0,5.4633,8.1464
TRUE,Health Post,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,5.504,8.0251
TRUE,Health Post,private,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,2,0,1,5.0762,5.8715
FALSE,Health Post,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,1,0,0,6.4475,9.0491
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,6,12,5,5.546,5.7611
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,,4,15,5.5258,5.7651
TRUE,Health Post,private,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,10.28522539,8.59439187
TRUE,Health Post,public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,0,10.22665733,8.64540817
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,3,1,0,4.87127395,7.14346766
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,6,2,2,4.86070579,7.1528916
,Primary Health Centre (PHC),public,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,12.3469,8.15
FALSE,Health Post,public,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,,,,11.8354,7.9495
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.6735,7.8887
FALSE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,0,0,0,12.7717,7.8819
FALSE,Dispensary,public,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.8832,7.1929
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0,0,7.7124,11.4799
FALSE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3,0,0,0,9.9622,11.2152
TRUE,Basic Health Centre / Primary Health Clinic,public,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,5,0,0,0,11.1151,10.4391
TRUE,Dispensary,public,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0,0,0,10.8871,10.3579
TRUE,General Hospital,public,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,,,2,10.9953,10.4094
FALSE,Dispensary,public,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,12.8525,7.3336
TRUE,Primary Health Centre (PHC),public,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,9,0,0,0,10.2278,12.9275
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,6,2,2,5.108,7.3457
TRUE,General Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,,5,7,5.1012,7.3787
TRUE,Primary Health Centre (PHC),public,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,0,4,0,5.0792,7.3773
TRUE,General Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,3,5,1,5.0876,7.3781
TRUE,Primary Health Centre (PHC),faith_based,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,8,2,1,6.5998,3.4004
TRUE,Basic Health Centre / Primary Health Clinic,private,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,4,0,2,6.5929,3.3975
TRUE,Specialist Hospital,private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,5,5,2,6.5862,3.3977
TRUE,Basic Health Centre / Primary Health Clinic,private,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,3,1,2,6.5972,3.388
FALSE,Primary Health Centre (PHC),public,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,0,0,8.9254,9.2513
TRUE,Basic Health Centre / Primary Health Clinic,public,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,0,0,7.6233,7.1116
